winner: First
                2 | 0.73, 0.00, 0.27 | 0.50, 0.20, 0.30 | 0.33, 0.39, 0.28 | 0.24, 0.52, 0.24 | 0.21, 0.61, 0.18 | 0.20, 0.66, 0.14 | 0.19, 0.70, 0.11 | 0.19, 0.73, 0.08 | 0.19, 0.75, 0.06 | 0.19, 0.76, 0.05 | 0.19, 0.77, 0.04 |                  |                  | 
                3 | 0.84, 0.08, 0.09 | 0.56, 0.26, 0.17 | 0.46, 0.40, 0.14 | 0.41, 0.49, 0.11 | 0.39, 0.54, 0.08 | 0.38, 0.57, 0.06 | 0.37, 0.59, 0.04 | 0.36, 0.61, 0.03 | 0.35, 0.62, 0.02 | 0.35, 0.64, 0.02 | 0.73, 0.27, 0.00 |                  |                  | 
                4 | 0.59, 0.34, 0.07 | 0.59, 0.37, 0.05 | 0.48, 0.46, 0.05 | 0.43, 0.52, 0.04 | 0.41, 0.55, 0.04 | 0.40, 0.56, 0.03 | 0.40, 0.57, 0.03 | 0.40, 0.58, 0.02 | 0.41, 0.58, 0.02 | 0.78, 0.21, 0.01 | 0.76, 0.24, 0.00 |                  |                  | 
                5 | 0.61, 0.38, 0.01 | 0.57, 0.41, 0.02 | 0.52, 0.47, 0.02 | 0.49, 0.50, 0.02 | 0.47, 0.52, 0.01 | 0.46, 0.53, 0.01 | 0.46, 0.53, 0.01 | 0.45, 0.54, 0.01 | 0.84, 0.16, 0.00 | 0.83, 0.17, 0.00 | 0.87, 0.14, 0.00 |                  |                  | 
                6 | 0.56, 0.44, 0.00 | 0.54, 0.46, 0.00 | 0.51, 0.49, 0.00 | 0.49, 0.51, 0.00 | 0.48, 0.52, 0.00 | 0.47, 0.53, 0.00 | 0.47, 0.53, 0.00 | 0.97, 0.03, 0.00 | 0.97, 0.03, 0.00 | 0.97, 0.04, 0.00 | 0.95, 0.06, 0.00 |                  |                  | 
                7 | 0.61, 0.39, 0.00 | 0.56, 0.44, 0.00 | 0.54, 0.46, 0.00 | 0.53, 0.47, 0.00 | 0.53, 0.47, 0.00 | 0.52, 0.48, 0.00 | 0.84, 0.16, 0.00 | 0.84, 0.16, 0.00 | 0.84, 0.16, 0.00 | 0.89, 0.11, 0.00 | 0.91, 0.09, 0.00 |                  |                  | 
                8 | 0.69, 0.31, 0.00 | 0.65, 0.35, 0.00 | 0.64, 0.36, 0.00 | 0.63, 0.37, 0.00 | 0.63, 0.37, 0.00 | 0.84, 0.16, 0.00 | 0.84, 0.16, 0.00 | 0.83, 0.17, 0.00 | 0.82, 0.18, 0.00 | 0.81, 0.19, 0.00 | 0.76, 0.25, 0.00 |                  |                  | 
                9 | 0.77, 0.23, 0.00 | 0.77, 0.23, 0.00 | 0.76, 0.24, 0.00 | 0.76, 0.24, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
               10 | 0.88, 0.12, 0.00 | 0.82, 0.18, 0.00 | 0.81, 0.19, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
               11 | 0.91, 0.09, 0.00 | 0.94, 0.06, 0.00 |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  | 
               12 | 0.89, 0.11, 0.00 |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  | 

winner: First
#2-edges\#3-edges |                0 |                1 |                2 |                3 |                4 |                5 |                6 |                7 |                8 |                9 |               10 |               11 |               12 | 
                0 |                  |                  |                  |                  | 0.50, 0.00, 0.50 | 0.38, 0.02, 0.60 | 0.36, 0.04, 0.60 | 0.38, 0.04, 0.58 | 0.47, 0.05, 0.49 | 0.57, 0.05, 0.38 | 0.69, 0.06, 0.25 | 0.78, 0.05, 0.16 | 0.87, 0.05, 0.08 | 
                1 |                  |                  | 0.69, 0.00, 0.31 | 0.53, 0.03, 0.44 | 0.52, 0.07, 0.41 | 0.51, 0.11, 0.38 | 0.53, 0.14, 0.33 | 0.54, 0.18, 0.28 | 0.57, 0.20, 0.23 | 0.59, 0.23, 0.18 | 0.62, 0.24, 0.14 | 0.66, 0.24, 0.10 |                  | 
                2 | 1.00, 0.00, 0.00 | 0.72, 0.06, 0.22 | 0.63, 0.12, 0.25 | 0.60, 0.15, 0.24 | 0.62, 0.18, 0.20 | 0.63, 0.21, 0.16 | 0.63, 0.24, 0.13 | 0.64, 0.26, 0.10 | 0.64, 0.28, 0.08 | 0.63, 0.31, 0.06 | 0.63, 0.33, 0.04 |                  |                  | 
                3 | 0.94, 0.01, 0.05 | 0.77, 0.10, 0.12 | 0.73, 0.15, 0.12 | 0.71, 0.18, 0.10 | 0.71, 0.20, 0.09 | 0.71, 0.22, 0.07 | 0.71, 0.23, 0.06 | 0.71, 0.25, 0.04 | 0.71, 0.26, 0.03 | 0.71, 0.27, 0.03 | 0.74, 0.26, 0.00 |                  |                  | 
                4 | 0.83, 0.13, 0.04 | 0.82, 0.15, 0.03 | 0.79, 0.18, 0.03 | 0.77, 0.20, 0.03 | 0.76, 0.22, 0.02 | 0.75, 0.23, 0.02 | 0.74, 0.24, 0.02 | 0.73, 0.25, 0.01 | 0.73, 0.26, 0.01 | 0.89, 0.10, 0.01 | 0.89, 0.11, 0.00 |                  |                  | 
                5 | 0.84, 0.15, 0.01 | 0.83, 0.16, 0.01 | 0.81, 0.19, 0.00 | 0.79, 0.20, 0.00 | 0.78, 0.21, 0.00 | 0.77, 0.22, 0.00 | 0.76, 0.23, 0.00 | 0.76, 0.24, 0.00 | 0.95, 0.05, 0.00 | 0.95, 0.05, 0.00 | 0.96, 0.04, 0.00 |                  |                  | 
                6 | 0.88, 0.12, 0.00 | 0.85, 0.14, 0.00 | 0.84, 0.16, 0.00 | 0.83, 0.17, 0.00 | 0.82, 0.18, 0.00 | 0.82, 0.18, 0.00 | 0.82, 0.18, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.01, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                7 | 0.91, 0.09, 0.00 | 0.90, 0.10, 0.00 | 0.89, 0.11, 0.00 | 0.89, 0.11, 0.00 | 0.88, 0.12, 0.00 | 0.88, 0.12, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                8 | 0.94, 0.06, 0.00 | 0.93, 0.07, 0.00 | 0.93, 0.07, 0.00 | 0.93, 0.07, 0.00 | 0.93, 0.07, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                9 | 0.96, 0.04, 0.00 | 0.96, 0.04, 0.00 | 0.96, 0.04, 0.00 | 0.96, 0.04, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
               10 | 0.97, 0.03, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
               11 | 0.99, 0.01, 0.00 | 0.98, 0.02, 0.00 |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  | 
               12 | 1.00, 0.00, 0.00 |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  | 

winner: First
#2-edges\#3-edges |                0 |                1 |                2 |                3 |                4 |                5 |                6 |                7 |                8 |                9 |               10 |               11 |               12 | 
                0 |                  |                  |                  |                  | 0.60, 0.00, 0.40 | 0.44, 0.01, 0.55 | 0.45, 0.02, 0.53 | 0.45, 0.02, 0.52 | 0.54, 0.03, 0.44 | 0.65, 0.03, 0.33 | 0.76, 0.03, 0.21 | 0.85, 0.03, 0.13 | 0.91, 0.03, 0.06 | 
                1 |                  |                  | 0.71, 0.00, 0.29 | 0.70, 0.01, 0.29 | 0.63, 0.03, 0.34 | 0.61, 0.05, 0.34 | 0.61, 0.07, 0.31 | 0.63, 0.09, 0.27 | 0.66, 0.11, 0.23 | 0.69, 0.13, 0.18 | 0.72, 0.14, 0.14 | 0.76, 0.14, 0.10 |                  | 
                2 | 1.00, 0.00, 0.00 | 0.89, 0.01, 0.10 | 0.80, 0.04, 0.16 | 0.75, 0.07, 0.18 | 0.74, 0.09, 0.17 | 0.74, 0.11, 0.15 | 0.75, 0.12, 0.13 | 0.76, 0.14, 0.10 | 0.76, 0.16, 0.08 | 0.76, 0.17, 0.06 | 0.76, 0.19, 0.05 |                  |                  | 
                3 | 0.99, 0.00, 0.01 | 0.90, 0.04, 0.07 | 0.86, 0.06, 0.08 | 0.84, 0.08, 0.08 | 0.83, 0.10, 0.07 | 0.83, 0.11, 0.06 | 0.83, 0.12, 0.05 | 0.82, 0.14, 0.04 | 0.82, 0.15, 0.03 | 0.82, 0.16, 0.02 | 0.93, 0.07, 0.00 |                  |                  | 
                4 | 0.94, 0.05, 0.01 | 0.93, 0.05, 0.02 | 0.90, 0.07, 0.02 | 0.89, 0.09, 0.02 | 0.88, 0.10, 0.02 | 0.88, 0.11, 0.02 | 0.87, 0.12, 0.01 | 0.87, 0.12, 0.01 | 0.86, 0.13, 0.01 | 0.96, 0.04, 0.00 | 0.96, 0.04, 0.00 |                  |                  | 
                5 | 0.95, 0.05, 0.00 | 0.94, 0.06, 0.00 | 0.93, 0.07, 0.00 | 0.92, 0.07, 0.00 | 0.92, 0.08, 0.00 | 0.91, 0.08, 0.00 | 0.91, 0.09, 0.00 | 0.90, 0.09, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 |                  |                  | 
                6 | 0.96, 0.04, 0.00 | 0.96, 0.04, 0.00 | 0.95, 0.05, 0.00 | 0.94, 0.06, 0.00 | 0.94, 0.06, 0.00 | 0.94, 0.06, 0.00 | 0.94, 0.06, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                7 | 0.97, 0.03, 0.00 | 0.97, 0.03, 0.00 | 0.97, 0.03, 0.00 | 0.96, 0.04, 0.00 | 0.96, 0.04, 0.00 | 0.96, 0.04, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                8 | 0.99, 0.01, 0.00 | 0.98, 0.02, 0.00 | 0.98, 0.02, 0.00 | 0.98, 0.02, 0.00 | 0.98, 0.02, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                9 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
               10 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
               11 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  | 
               12 | 1.00, 0.00, 0.00 |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  | 

winner: First
#2-edges\#3-edges |                0 |                1 |                2 |                3 |                4 |                5 |                6 |                7 |                8 |                9 |               10 |               11 |               12 | 
                0 |                  |                  |                  |                  | 0.65, 0.00, 0.35 | 0.63, 0.00, 0.37 | 0.56, 0.01, 0.43 | 0.55, 0.01, 0.44 | 0.61, 0.01, 0.37 | 0.71, 0.02, 0.27 | 0.81, 0.02, 0.17 | 0.89, 0.01, 0.09 | 0.94, 0.01, 0.05 | 
                1 |                  |                  | 0.79, 0.00, 0.21 | 0.79, 0.01, 0.20 | 0.74, 0.01, 0.25 | 0.70, 0.02, 0.27 | 0.70, 0.04, 0.26 | 0.71, 0.05, 0.24 | 0.74, 0.06, 0.20 | 0.76, 0.07, 0.17 | 0.79, 0.08, 0.13 | 0.82, 0.08, 0.10 |                  | 
                2 | 1.00, 0.00, 0.00 | 0.93, 0.01, 0.07 | 0.86, 0.02, 0.12 | 0.82, 0.03, 0.15 | 0.81, 0.04, 0.14 | 0.81, 0.05, 0.13 | 0.82, 0.07, 0.11 | 0.83, 0.08, 0.09 | 0.84, 0.09, 0.07 | 0.84, 0.10, 0.06 | 0.85, 0.11, 0.04 |                  |                  | 
                3 | 1.00, 0.00, 0.00 | 0.93, 0.01, 0.05 | 0.91, 0.03, 0.06 | 0.89, 0.04, 0.07 | 0.89, 0.05, 0.06 | 0.89, 0.06, 0.06 | 0.89, 0.06, 0.05 | 0.89, 0.07, 0.04 | 0.89, 0.08, 0.03 | 0.89, 0.09, 0.02 | 0.95, 0.05, 0.00 |                  |                  | 
                4 | 0.98, 0.01, 0.01 | 0.96, 0.02, 0.01 | 0.95, 0.03, 0.02 | 0.94, 0.04, 0.02 | 0.94, 0.05, 0.02 | 0.93, 0.05, 0.01 | 0.93, 0.06, 0.01 | 0.93, 0.06, 0.01 | 0.93, 0.07, 0.01 | 0.98, 0.02, 0.00 | 1.00, 0.01, 0.00 |                  |                  | 
                5 | 0.98, 0.01, 0.00 | 0.97, 0.03, 0.00 | 0.97, 0.03, 0.00 | 0.96, 0.03, 0.00 | 0.96, 0.04, 0.00 | 0.96, 0.04, 0.00 | 0.95, 0.04, 0.00 | 0.95, 0.05, 0.00 | 0.99, 0.01, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                6 | 0.98, 0.02, 0.00 | 0.98, 0.02, 0.00 | 0.98, 0.02, 0.00 | 0.98, 0.02, 0.00 | 0.97, 0.03, 0.00 | 0.97, 0.03, 0.00 | 0.97, 0.03, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                7 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                8 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                9 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
               10 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
               11 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  | 
               12 | 1.00, 0.00, 0.00 |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  | 

winner: First
#2-edges\#3-edges |                0 |                1 |                2 |                3 |                4 |                5 |                6 |                7 |                8 |                9 |               10 |               11 |               12 | 
                0 |                  |                  |                  |                  | 0.83, 0.00, 0.17 | 0.71, 0.00, 0.28 | 0.63, 0.00, 0.36 | 0.60, 0.01, 0.40 | 0.66, 0.01, 0.34 | 0.75, 0.01, 0.24 | 0.85, 0.01, 0.14 | 0.91, 0.01, 0.08 | 0.96, 0.01, 0.03 | 
                1 |                  |                  | 0.94, 0.00, 0.06 | 0.86, 0.00, 0.14 | 0.80, 0.01, 0.19 | 0.77, 0.01, 0.22 | 0.76, 0.02, 0.22 | 0.76, 0.02, 0.21 | 0.78, 0.03, 0.18 | 0.81, 0.04, 0.16 | 0.84, 0.04, 0.12 | 0.86, 0.04, 0.09 |                  | 
                2 | 1.00, 0.00, 0.00 | 0.95, 0.00, 0.05 | 0.91, 0.01, 0.08 | 0.87, 0.01, 0.12 | 0.86, 0.02, 0.12 | 0.85, 0.03, 0.11 | 0.86, 0.04, 0.10 | 0.87, 0.05, 0.09 | 0.87, 0.05, 0.07 | 0.88, 0.06, 0.06 | 0.89, 0.07, 0.04 |                  |                  | 
